IP/HOST,OPTIONS,GB/S,COUNTRY,SITE,CONTINENT,PROVIDER,STATUS
iperf3 -c bom.proof.ovh.net -p 5201-5210,"'-R,-6",10,IN,Mumbai,Asia,OVH,
iperf3 -c  shahriar.iperf3.ir -p 5201-5208,"'-R,-6",10,IR,Teheran,Asia,ArvanCloud,
iperf3 -c simin.iperf3.ir -p 5201-5208,"'-R,-6",10,IR,Teheran,Asia,ArvanCloud,
iperf3 -c bamdad.iperf3.ir -p 5201-5209,"'-R,-6",10,IR,Teheran,Asia,ArvanCloud,
iperf3 -c speedtest.tyo11.jp.leaseweb.net -p 5201-5210,"'-R,-6",10,JP,Tokyo,Asia,LeaseWeb,
iperf3 -c 89.187.160.1,"'-R",10,JP,Tokyo,Asia,DATAPACKET,
iperf3 -c lg-jp-tyo.webhorizon.net,"'-R,-6",10,JP,Tokyo,Asia,Webhorizon,
iperf3 -c 91.185.23.98,"'-R",,KZ,Aktau,Asia,,
iperf3 -c iperf.myren.net.my -p 5201-5210,"'-R",,MY,Kuala Lumpur,Asia,MYREN,
iperf3 -c speedtest.sin1.sg.leaseweb.net -p 5201-5210,"'-R,-6",10,SG,Singapore,Asia,LeaseWeb,
iperf3 -c 89.187.162.1,"'-R",10,SG,Singapore,Asia,DATAPACKET,
iperf3 -c speedtest.singnet.com.sg -p 5201-5210,"'-R",,SG,Singapore,Asia,Singnet,
iperf3 -c sgp.proof.ovh.net -p 5201-5210,"'-R,-6",1,SG,Singapore,Asia,OVH,
iperf3 -c  202.29.80.9  -p 9200-9240,"'-R",,TH,Phitsanulok,Asia,psru,
iperf3 -c 58.64.45.56 -p 9200-9240,"'-R",,TH,Phitsanulok,Asia,Pibul University,
iperf3 -c 156.146.52.1,"'-R",10,TR,Istanbul,Asia,DATAPACKET,
iperf3 -c speedtest.uztelecom.uz -p 5200-5209,"'-R,-6",10,UZ,Tashkent,Asia,UZ Telecom,
iperf3 -c lg.vie.alwyzon.net -p 5202-5203,"'-R",,AT,Vienna,Europe,alwyzon,
iperf3 -c 207.211.214.65,"'-R",10,BE,Brussels,Europe,DATAPACKET,
iperf3 -c 37.19.203.1,"'-R",10,BG,Sofia,Europe,DATAPACKET,
iperf3 -c speedtest.shinternet.ch -p 5200-5209,"'-R,-6",10,CH,Schaffhausen,Europe,Sasag,
iperf3 -c speedtest.init7.net,"'-R,-6",20,CH,Winterthur,Europe,Init7,
iperf3 -c speedtest.iway.ch,"'-R,-6",10,CH,Zürich,Europe,iWay,
iperf3 -c rychlost.poda.cz,"'-R",,CZ,Mikulov,Europe,PODA,
iperf3 -c a209.speedtest.wobcom.de,"'-R,-6",2x25,DE,Berlin,Europe,WOBCOM,
iperf3 -c a110.speedtest.wobcom.de,"'-R,-6",2x25,DE,Berlin,Europe,WOBCOM,
iperf3 -c a208.speedtest.wobcom.de,"'-R,-6",2x25,DE,Düsseldorf,Europe,WOBCOM,
iperf3 -c 178.215.228.109 -p 9201-9240,"'-R",,DE,Frankfurt,Europe,Eseven,
iperf3 -c fra.speedtest.clouvider.net -p 5200-5209,"'-R,-6",10,DE,Frankfurt,Europe,Clouvider,
iperf3 -c speedtest.ip-projects.de,"'-R,-6",10,DE,Frankfurt,Europe,IP Projects,
iperf3 -c speedtest.fra1.de.leaseweb.net -p 5201-5210,"'-R,-6",10,DE,Frankfurt,Europe,LeaseWeb,
iperf3 -c spd-desrv.hostkey.com -p 5201,"'-R",10,DE,Frankfurt,Europe,HOSTKEY,
iperf3 -c a210.speedtest.wobcom.de,"'-R,-6",2x25,DE,Frankfurt,Europe,WOBCOM,
iperf3 -c a205.speedtest.wobcom.de,"'-R,-6",2x25,DE,Frankfurt,Europe,WOBCOM,
iperf3 -c speedtest.studiofunk.de -p 5209,"'-R,-6",,DE,Hamburg,Europe,Studiofunk,
iperf3 -c speedtest.wtnet.de -p 5200-5209,"'-R,-6",40,DE,Norderstedt,Europe,wilhelm.tel,
iperf3 -c speedtest.wobcom.de,"'-R,-6",2x25,DE,Wolfsburg,Europe,WOBCOM,
iperf3 -c a400.speedtest.wobcom.de,"'-R,-6",2x25,DE,Wolfsburg,Europe,WOBCOM,
iperf3 -c iperf.deic.dk,"'-R",10,DK,Copenhagen,Europe,DeiC,
iperf3 -c speed.fiberby.dk -p 9201-9240,"'-R,-6",10,DK,Copenhagen,Europe,Fiberby,
iperf3 -c speedtest.hiper.dk -p 5201-5203,"'-R,-6",,DK,Copenhagen,Europe,Hiper,
iperf3 -c 185.93.3.50,"'-R",10,ES,Madrid,Europe,DATAPACKET,
iperf3 -c speedtest-hki.netplaza.fi,"'-R",,FI,Helsinki,Europe,Cinia,
iperf3 -c spd-fisrv.hostkey.com -p 5201,"'-R",10,FI,Helsinki,Europe,HOSTKEY,
iperf3 -c speedtest.cinia.fi,"'-R",,FI,Oulu,Europe,Cinia,
iperf3 -c aix-marseille.testdebit.info -p 9200-9240,"'-R,-6",10,FR,Aix-en-Provence,Europe,Bouygues,
iperf3 -c iperf.par2.as49434.net -p 9200-9240,"'-R",40,FR,Paris,Europe,Harmony Hosting,
iperf3 -c bouygues.testdebit.info -p 9200-9240,"'-R,-6",10,FR,Paris,Europe,Bouygues,
iperf3 -c paris.testdebit.info -p 9200-9240,"'-R,-6",10,FR,Paris,Europe,Bouygues,
iperf3 -c proof.ovh.net -p 5201-5210,"'-R,-6",10,FR,Paris,Europe,OVH,
iperf3 -c iperf3.moji.fr -p 5200-5240,"'-R,-6",100,FR,Paris,Europe,moji,
iperf3 -c ping-90ms.online.net -p 5200-5209,"'-R,-6",100,FR,Paris,Europe,Scaleway,
iperf3 -c iperf.online.net -p 5200-5209,"'-R,-6",100,FR,Vienna,Europe,Scaleway,
iperf3 -c scaleway.testdebit.info -p 5200-5209,"'-R,-6",10,FR,Vitry-sur-Seine,Europe,Scaleway,
iperf3 -c ping.online.net -p 5200-5209,"'-R,-6",100,FR,Vitry-sur-Seine,Europe,Scaleway,
iperf3 -c ping6.online.net -p 5200-5209,"'-R,-6",100,FR,Vitry-sur-Seine,Europe,Scaleway,
iperf3 -c speedtest-london.its-tg.net,"'-R",,GB,London,Europe,,
iperf3 -c iperf.as42831.net -p 5300-5400,"'-R",,GB,London,Europe,UK Servers,
iperf3 -c speedtest.lon1.uk.leaseweb.net -p 5201-5210,"'-R,-6",10,GB,London,Europe,LeaseWeb,
iperf3 -c speedtest.lon12.uk.leaseweb.net -p 5201-5210,"'-R,-6",10,GB,London,Europe,LeaseWeb,
iperf3 -c lon.speedtest.clouvider.net -p 5200-5209,"'-R,-6",10,GB,London,Europe,Cloudvider,
iperf3 -c 169.150.252.2,"'-R",10,GR,Athens,Europe,DATAPACKET,
iperf3 -c 169.150.242.129,"'-R",10,HR,Zagreb,Europe,DATAPACKET,
iperf3 -c speedtest1.vodafone.hu,"'-R",1,HU,Budapest,Europe,Vodafone,
iperf3 -c spd-icsrv.hostkey.com -p 5201,"'-R",10,IC,Reykjavik,Europe,HOSTKEY,
iperf3 -c it1.speedtest.aruba.it,"'-R",,IT,Arezzo,Europe,Aruba.it,
iperf3 -c speed.itgate.net -p 5201-5202,"'-R,-6",,IT,Gerbido,Europe,IT GATE,
iperf3 -c 217.61.40.96,"'-R",,IT,Ponte San Pietro,Europe,Aruba.it,
iperf3 -c 80.92.72.3,"'-R",,LU,Bettembourg,Europe,Datacenter.eu,
iperf3 -c speedtest.lu.buyvm.net,"'-R,-6",,LU,Bissen,Europe,BuyVM,
iperf3 -c speedtest.ams1.nl.leaseweb.net -p 5201-5210,"'-R,-6",10,NL,Amsterdam,Europe,LeaseWeb,
iperf3 -c speedtest.ams2.nl.leaseweb.net -p 5201-5210,"'-R,-6",10,NL,Amsterdam,Europe,LeaseWeb,
iperf3 -c ams.speedtest.clouvider.net -p 5200-5209,"'-R,-6",10,NL,Amsterdam,Europe,Clouvider,
iperf3 -c ping-ams1.online.net -p 5200-5209,"'-R",10,NL,Amsterdam,Europe,Scaleway,
iperf3 -c a204.speedtest.wobcom.de,"'-R,-6",2x25,NL,Amsterdam,Europe,WOBCOM,
iperf3 -c speedtest.ams1.novogara.net -p 5200-5209,"'-R,-6",20,NL,Amsterdam,Europe,Novogara,
iperf3 -c lg.ams-nl.terrahost.com -p 9201-9240,"'-R,-6",,NL,Amsterdam,Europe,TerraHost,
iperf3 -c speedtest.novoserve.com -p 5201-5206,"'-R,-6",40,NL,Amsterdam,Europe,NovoServe,
iperf3 -c speedtest.nl3.mirhosting.net -p 5201-5209,"'-R,-6",40,NL,Amsterdam,Europe,Mirhosting,
iperf3 -c spt01.sdhd.hosting,"'-R",10,NL,Dronten,Europe,SDHD HOSTS,
iperf3 -c lg-drn.liteserver.nl -p 5200-5240,"'-R",1,NL,Dronten,Europe,LiteServer,
iperf3 -c speedtest.nl1.mirhosting.net -p 5201-5209,"'-R,-6",2x 10,NL,Dronten,Europe,Mirhosting,
iperf3 -c iperf.worldstream.nl,"'-R,-6",10,NL,Naaldwijk,Europe,Worldstream,
iperf3 -c lg.terrahost.com -p 9200-9240,"'-R,-6",10,NO,Sandefjord,Europe,Terrahost,
iperf3 -c speedtest.midiko.pl,"'-R",,PL,Katowice,Europe,Midiko,
iperf3 -c speedtest-w5-rnp.play.pl,"'-R",,PL,Warsaw,Europe,PLAY,
iperf3 -c 185.246.208.67,"'-R",10,PL,Warsaw,Europe,DATAPACKET,
iperf3 -c 95.95.252.87,"'-R",,PT,Lissabon,Europe,NOS,
iperf3 -c lisboa.speedtest.net.zon.pt -p 5201-5209,"'-R,-6",10,PT,Lissabon,Europe,NOS,
iperf3 -c 185.102.217.170,"'-R",10,RO,Bucharest,Europe,DATAPACKET,
iperf3 -c speedtest.kamel.network -p 5201-5205,"'-R,-6",1,SE,Kista,Europe,Kamel Networks,
iperf3 -c speedtest.ownit.se,"'-R",1,SE,Stockholm,Europe,Ownit,
iperf3 -c speedtestv6.ownit.se,"'-R,-6",1,SE,Stockholm,Europe,Ownit,
iperf3 -c se-speedt01.fre.nis.telia.net -p 5201-5210,"'-R,-6",1,SE,Viken,Europe,Telia Company,
iperf3 -c 37.19.218.65,"'-R",10,UA,Kyiv,Europe,DATAPACKET,
iperf3 -c speedtest.solver.net.ua,"'-R",,UA,Poltava,Europe,Conbed,
iperf3 -c speedtest-london.its-tg.net,"'-R",,UK,London,Europe,,
iperf3 -c speedtest.sao1.edgoo.net -p 9204-9240,"'-R,-6",,BR,São Paulo,Latin America,as47787.net,
iperf3 -c 138.199.4.1,"'-R",10,BR,São Paulo,Latin America,DATAPACKET,
iperf3 -c sp11.wom.cl,,,CL,Santiago,Latin America,WOM,
iperf3 -c 79.127.209.1,"'-R",10,CL,Santiago,Latin America,DATAPACKET,
iperf3 -c  speedtest-cncp.grupogtd.com -p 5201-5205,"'-R,-6",10,CL,Valdivia,Latin America,GTD,
iperf3 -c 169.150.228.129,"'-R",10,CO,Bogotá,Latin America,DATAPACKET,
iperf3 -c 156.146.53.53,"'-R",10,CR,San Jose,Latin America,DATAPACKET,
iperf3 -c speedtest.masnet.ec -p 5201-5209,"'-R,-6",1,EC,Santa Ana,Latin America,MásNet,
iperf3 -c 121.127.43.65,"'-R",10,MX,Querétaro,Latin America,DATAPACKET,
iperf3 -c  200.2.166.166 -p 5201-5213,"'-R",,SR,Paramaribo,Latin America,Telesur,
iperf3 -c bhs.proof.ovh.ca -p 5201-5210,"'-R,-6",10,CA,Beauharnois,North America,OVH,Monitoring - Unlisted gh
iperf3 -c speedtest.mtl2.ca.leaseweb.net -p 5201-5210,"'-R,-6",10,CA,Montreal,North America,LeaseWeb,
iperf3 -c 138.199.57.129,"'-R",10,CA,Toronto,North America,DATAPACKET,
iperf3 -c speedtest-west.eastlink.ca -p 5201,"'-R,-6",,CA,Wetaskiwin,North America,EastLink,
iperf3 -c ash.speedtest.clouvider.net -p 5200-5209,"'-R,-6",10,US,Ashburn,North America,Clouvider,
iperf3 -c 37.19.206.20,"'-R",10,US,Ashburn,North America,DATAPACKET,
iperf3 -c atl.speedtest.clouvider.net -p 5200-5209,"'-R,-6",10,US,Atlanta,North America,Clouvider,
iperf3 -c 185.152.66.67,"'-R",10,US,Atlanta,North America,DATAPACKET,
iperf3 -c 109.61.86.65,"'-R",10,US,Boston,North America,DATAPACKET,
iperf3 -c speedtest13.suddenlink.net,"'-R",10,US,Charleston,North America,Optimum,
iperf3 -c speedtest15.suddenlink.net,"'-R",10,US,Charleston,North America,Optimum,
iperf3 -c speedtest.chi11.us.leaseweb.net -p 5201-5210,"'-R,-6",10,US,Chicago,North America,LeaseWeb,
iperf3 -c 185.93.1.65,"'-R",10,US,Chicago,North America,DATAPACKET,
iperf3 -c speedtest.dal13.us.leaseweb.net -p 5201-5210,"'-R,-6",10,US,Dallas,North America,LeaseWeb,
iperf3 -c dal.speedtest.clouvider.net -p 5200-5209,"'-R",10,US,Dallas,North America,Clouvider,
iperf3 -c 89.187.164.1,"'-R",10,US,Dallas,North America,DATAPACKET,
iperf3 -c la.speedtest.clouvider.net -p 5200-5209,"'-R",10,US,Los Angeles,North America,Clouvider,
iperf3 -c speedtest.lax12.us.leaseweb.net -p 5201-5210,"'-R,-6",10,US,Los Angeles,North America,LeaseWeb,
iperf3 -c speedtest.tds.net,"'-R",,US,Madison,North America,TDS,
iperf3 -c speedtest.mia11.us.leaseweb.net -p 5201-5210,"'-R,-6",10,US,Miami,North America,LeaseWeb,
iperf3 -c spd-uswb.hostkey.com -p 5201-5202,"'-R",10,US,New York,North America,HOSTKEY,
iperf3 -c nyc.speedtest.clouvider.net -p 5200-5209,"'-R",10,US,New York City,North America,Clouvider,
iperf3 -c speedtest.nyc1.us.leaseweb.net -p 5201-5210,"'-R,-6",10,US,New York City,North America,LeaseWeb,
iperf3 -c speedtest.unrealservers.net,"'-R,-6",10,US,North Kansas City,North America,Unreal Servers,
iperf3 -c speedtest.phx1.us.leaseweb.net -p 5201-5210,"'-R,-6",10,US,Phoenix,North America,LeaseWeb,
iperf3 -c speedtest.sfo12.us.leaseweb.net -p 5201-5210,"'-R,-6",10,US,San Francisco,North America,LeaseWeb,
iperf3 -c speedtest.sea11.us.leaseweb.net -p 5201-5210,"'-R,-6",10,US,Seattle,North America,LeaseWeb,
iperf3 -c speedtest.wdc2.us.leaseweb.net -p 5201-5210,"'-R,-6",10,US,Washington,North America,LeaseWeb,
iperf3 -c speedtest.optusnet.com.au -p 5201-5203,"'-R",,AU,,Oceania,OPTUS,
iperf3 -c speed.per.swoop.com.au,"'-R",10,AU,Perth,Oceania,Swoop,
iperf3 -c speedtest.syd12.au.leaseweb.net -p 5201-5210,"'-R,-6",10,AU,Sydney,Oceania,LeaseWeb,
iperf3 -c 198.142.237.72,"'-R",,AU,Sydney,Oceania,OPTUS,
iperf3 -c 198.142.237.97,"'-R",,AU,Sydney,Oceania,OPTUS,
iperf3 -c techspeedtest.bla.optusnet.com.au,"'-R",,AU,Sydney,Oceania,OPTUS,
iperf3 -c 143.244.63.144,"'-R",10,AU,Sydney,Oceania,DATAPACKET,
iperf3 -c syd.proof.ovh.net -p 5201-5210,"'-R,-6",1,AU,Sydney,Oceania,OVH,
iperf3 -c speedtest.lagoon.nc -p 5202-5210,"'-R,-6",10,NC,Noumea,Oceania,Lagoon,
iperf3 -c akl.linetest.nz -p 5300-5309,"'-R",10,NZ,Auckland,Oceania,2Degrees,
iperf3 -c  chch.linetest.nz -p 5300-5309,"'-R",10,NZ,Christchurch,Oceania,2Degrees,
"iperf3 -c 154.81.51.4 ","'-R",,PG,Port Moresby,Oceania,DATAPACKET,
